current,dc,valver,command,valve
0,1,749,1,-0.194035948
0.029411765,1,749,2181,-0.194035948
0.852941155,26,787,2181,0.194035948
0.852941155,26,787,2181,0.194035948
0.911764681,35,873,2181,1.072303922
0.79411763,35,955,2181,1.909722222
0.882352948,35,1103,2181,3.421160131
0.882352948,35,1103,2181,3.421160131
0.735294104,35,1210,2181,4.513888889
0.764705896,35,1295,2181,5.381944444
0.941176474,35,1442,2181,6.883169935
0.941176474,35,1442,2181,6.883169935
0.79411763,35,1547,2181,7.955473856
1.088235259,35,1632,2181,8.823529412
0.852941155,35,1775,2181,10.28390523
0.852941155,35,1775,2181,10.28390523
0.823529422,35,1881,2181,11.36642157
0.882352948,35,1961,2181,12.18341503
1.088235259,35,2106,2181,13.66421569
1.088235259,35,2106,2181,13.66421569
0.823529422,35,2212,2181,14.74673203
1.088235259,35,2292,2181,15.56372549
0.911764681,35,2437,2181,17.04452614
0.911764681,35,2437,2181,17.04452614
0.882352948,35,2542,2181,18.11683007
0.735294104,35,2624,2181,18.95424837
0.882352948,35,2769,2181,20.43504902
0.882352948,35,2769,2181,20.43504902
0.676470578,35,2873,2181,21.49714052
0.852941155,35,2956,2181,22.34477124
1.235294104,35,3100,2181,23.81535948
1.235294104,35,3100,2181,23.81535948
0.676470578,35,3203,2181,24.86723856
0.735294104,35,3287,2181,25.7250817
0.823529422,35,3428,2181,27.16503268
0.823529422,35,3428,2181,27.16503268
1.088235259,35,3533,2181,28.2373366
0.911764681,35,3613,2181,29.05433007
0.941176474,35,3757,2181,30.5249183
0.941176474,35,3757,2181,30.5249183
0.735294104,35,3859,2181,31.56658497
1.058823586,35,3942,2181,32.41421569
0.882352948,35,4086,2181,33.88480392
0.882352948,35,4086,2181,33.88480392
1.058823586,35,4189,2181,34.93668301
0.79411763,35,4271,2181,35.77410131
0.911764681,35,4415,2181,37.24468954
0.911764681,35,4415,2181,37.24468954
0.823529422,35,4518,2181,38.29656863
0.852941155,35,4600,2181,39.13398693
0.764705896,35,4744,2181,40.60457516
0.764705896,35,4744,2181,40.60457516
0.823529422,35,4847,2181,41.65645425
1,35,4931,2181,42.51429739
0.882352948,35,5072,2181,43.95424837
0.882352948,35,5072,2181,43.95424837
0.911764681,35,5177,2181,45.02655229
0.941176474,35,5257,2181,45.84354575
0.941176474,35,5401,2181,47.31413399
0.941176474,35,5401,2181,47.31413399
0.941176474,35,5503,2181,48.35580065
1.029411793,35,5585,2181,49.19321895
1.117647052,35,5729,2181,50.66380719
1.117647052,35,5729,2181,50.66380719
0.735294104,35,5831,2181,51.70547386
0.764705896,35,5915,2181,52.56331699
0.823529422,35,6057,2181,54.01348039
0.823529422,35,6057,2181,54.01348039
0.941176474,35,6160,2181,55.06535948
0.852941155,35,6245,2181,55.93341503
0.735294104,35,6386,2181,57.37336601
0.735294104,35,6386,2181,57.37336601
1.058823586,35,6489,2181,58.4252451
0.764705896,35,6571,2181,59.2626634
0.764705896,35,6715,2181,60.73325163
0.764705896,35,6715,2181,60.73325163
0.911764681,35,6821,2181,61.81576797
0.764705896,35,6901,2181,62.63276144
1.058823586,35,7045,2181,64.10334967
1.058823586,35,7045,2181,64.10334967
1.029411793,35,7146,2181,65.13480392
0.823529422,35,7225,2181,65.94158497
0.735294104,35,7363,2181,67.35089869
0.735294104,35,7363,2181,67.35089869
1.117647052,35,7464,2181,68.38235294
0.882352948,35,7547,2181,69.22998366
1.088235259,35,7685,2181,70.63929739
1.088235259,35,7685,2181,70.63929739
1.117647052,35,7787,2181,71.68096405
0.970588207,35,7866,2181,72.4877451
1.117647052,35,8006,2181,73.91748366
1.117647052,35,8006,2181,73.91748366
1.147058845,35,8107,2181,74.94893791
0.617647052,35,8187,2181,75.76593137
0.911764681,35,8327,2181,77.19566993
0.911764681,35,8327,2181,77.19566993
1.058823586,35,8428,2181,78.22712418
1.117647052,35,8507,2181,79.03390523
1.235294104,35,8647,2181,80.46364379
1.235294104,35,8647,2181,80.46364379
0.764705896,35,8747,2181,81.48488562
0.617647052,35,8827,2181,82.30187909
1.205882311,35,8968,2181,83.74183007
1.205882311,35,8968,2181,83.74183007
0.882352948,35,9069,2181,84.77328431
0.823529422,35,9148,2181,85.58006536
0.882352948,35,9288,2181,87.00980392
0.882352948,35,9288,2181,87.00980392
0.941176474,35,9388,2181,88.03104575
1,35,9468,2181,88.84803922
0.79411763,35,9607,2181,90.26756536
0.79411763,35,9607,2181,90.26756536
0.970588207,35,9707,2181,91.28880719
1.058823586,35,9788,2181,92.11601307
0.882352948,35,9925,2181,93.51511438
0.882352948,35,9925,2181,93.51511438
0.911764681,35,10026,2181,94.54656863
0.882352948,35,10103,2181,95.33292484
1,35,10241,2181,96.74223856
1,35,10241,2181,96.74223856
0.941176474,35,10342,2181,97.77369281
1.205882311,35,10420,2181,98.57026144
0.970588207,35,10559,2181,99.98978758
0.970588207,35,10559,2181,99.98978758
0,20,10575,2181,100.1531863
0,5,10575,2181,100.1531863
0,1,10575,3,100.1531863
